"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"10 Jan 2019";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"8.25";"8.25";"8.25";"8.25";"10/01/2019 09:00";"CET";"1";"8.25"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.10";"0.10";"0.10";"0.10";"27/12/2018 11:30";"CET";"300";"30.00"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"7.269";"7.269";"7.269";"7.269";"10/01/2019 11:01";"CET";"161";"1170.309"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"13.50";"13.55";"13.50";"13.55";"10/01/2019 16:47";"CET";"289";"3913.45"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"16.50";"16.50";"15.70";"16.18";"10/01/2019 17:35";"CET";"15619";"251528.98"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0.784";"0.784";"0.76";"0.774";"10/01/2019 16:12";"CET";"67950";"52623.28"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0.0052";"0.0092";"0.0052";"0.0092";"08/01/2019 14:46";"CET";"402865";"3527.01"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"163.10";"168.20";"162.80";"168.20";"10/01/2019 17:38";"CET";"78257";"13073718.90"
"ADTHINK";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"0.934";"0.934";"0.92";"0.93";"10/01/2019 17:29";"CET";"7667";"7142.712"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"3.07";"3.15";"3.07";"3.15";"10/01/2019 16:14";"CET";"7415";"23277.30"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1.33";"1.33";"1.23";"1.23";"10/01/2019 17:16";"CET";"3403";"4271.75"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"10.80";"10.878";"10.62";"10.878";"10/01/2019 11:22";"CET";"1141";"12286.236"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"28.00";"28.00";"27.80";"27.80";"10/01/2019 11:29";"CET";"272";"7602.00"
"ADYEN";"NL0012969182";"ADYEN";"Euronext Amsterdam";"EUR";"556.40";"558.30";"537.00";"552.00";"10/01/2019 17:37";"CET";"76563";"42251381.90"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"79.20";"79.80";"79.20";"79.40";"10/01/2019 17:36";"CET";"40325";"3204512.10"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"4.206";"4.292";"4.188";"4.292";"10/01/2019 17:39";"CET";"6705915";"28519577.833"
"AFONE PARTICIP.";"FR0000044612";"AFO";"Euronext Paris";"EUR";"11.50";"11.50";"11.50";"11.50";"10/01/2019 15:20";"CET";"179";"2058.50"
"AG3I";"FR0011908045";"MLAGI";"Euronext Access Paris";"EUR";"3.46";"3.46";"3.46";"3.46";"12/11/2018 12:53";"CET";"12";"41.52"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"38.50";"39.40";"38.46";"39.40";"10/01/2019 17:35";"CET";"609470";"23862313.09"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"3.254";"3.302";"3.22";"3.276";"10/01/2019 17:35";"CET";"211400";"690010.392"
"AGROGENERATION";"FR0010641449";"ALAGR";"Euronext Growth Paris";"EUR";"0.111";"0.116";"0.095";"0.101";"10/01/2019 17:35";"CET";"1193092";"121858.7833"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"64.50";"64.50";"64.50";"64.50";"10/01/2019 09:00";"CET";"1";"64.50"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Euronext Access Lisbon";"EUR";"1.17";"1.17";"1.17";"1.17";"06/09/2017 20:30";"BST";"32";"37.44"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"22.375";"22.735";"22.35";"22.61";"10/01/2019 17:36";"CET";"3639291";"82159559.905"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"9.322";"9.49";"9.00";"9.038";"10/01/2019 17:35";"CET";"4475484";"40974803.694"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"104.20";"104.40";"103.15";"104.00";"10/01/2019 17:35";"CET";"781718";"81210859.50"
"AIR MARINE";"FR0013285103";"MLAIM";"Euronext Access Paris";"EUR";"2.80";"2.80";"2.80";"2.80";"10/01/2019 11:30";"CET";"294";"823.20"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"89.00";"89.70";"87.87";"89.61";"10/01/2019 17:38";"CET";"1321653";"117593289.32"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"15.10";"15.35";"15.10";"15.30";"10/01/2019 17:35";"CET";"18234";"277416.45"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"46.55";"47.05";"45.65";"46.55";"10/01/2019 17:35";"CET";"23695";"1097980.40"
"AKWEL";"FR0000053027";"AKW";"Euronext Paris";"EUR";"17.08";"17.10";"16.68";"16.74";"10/01/2019 17:35";"CET";"10050";"169325.74"
"AKZO NOBEL";"NL0000009132";"AKZA";"Euronext Amsterdam";"EUR";"69.46";"70.24";"68.82";"69.86";"10/01/2019 17:39";"CET";"559507";"39017136.36"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"19.10";"19.20";"18.82";"19.12";"10/01/2019 17:39";"CET";"27711";"529154.76"
"ALD";"FR0013258662";"ALD";"Euronext Paris";"EUR";"11.31";"11.43";"11.20";"11.42";"10/01/2019 17:35";"CET";"100887";"1146736.43"
"ALES GROUPE";"FR0000054652";"ALPHY";"Euronext Growth Paris";"EUR";"3.84";"3.90";"3.84";"3.90";"10/01/2019 09:48";"CET";"361";"1406.24"
"ALFEN";"NL0012817175";"ALFEN";"Euronext Amsterdam";"EUR";"12.96";"13.06";"12.68";"13.06";"10/01/2019 17:35";"CET";"5344";"69030.084"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"24.00";"24.45";"23.80";"24.45";"10/01/2019 17:35";"CET";"9336";"225831.25"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0.357";"0.357";"0.357";"0.357";"10/01/2019 16:29";"CET";"100000";"35700.00"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"34.62";"34.71";"34.05";"34.51";"10/01/2019 17:36";"CET";"879721";"30371241.01"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"13.70";"13.72";"13.60";"13.70";"10/01/2019 17:35";"CET";"6272";"85864.22"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"170.00";"170.00";"167.00";"167.60";"10/01/2019 17:35";"CET";"1627";"273425.20"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"440.00";"440.00";"440.00";"440.00";"10/01/2019 11:30";"CET";"1";"440.00"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"78.00";"78.00";"76.60";"77.15";"10/01/2019 17:35";"CET";"61632";"4757439.60"
"ALTICE EUROPE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"1.805";"1.94";"1.805";"1.916";"10/01/2019 17:35";"CET";"152956";"287802.287"
"ALTICE EUROPE N.V.";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"1.8125";"1.948";"1.7935";"1.914";"10/01/2019 17:35";"CET";"15007956";"28427698.809"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"7.665";"7.86";"7.475";"7.74";"10/01/2019 17:35";"CET";"983748";"7590662.125"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"6.20";"6.23";"6.07";"6.23";"10/01/2019 22:35";"BST";"473566";"2907743.13"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"5.54";"5.62";"5.32";"5.62";"10/01/2019 12:59";"CET";"15914";"83147.64"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"0.55";"0.56";"0.55";"0.56";"10/01/2019 15:45";"CET";"1005";"562.75"
"ALVEEN";"FR0013253812";"MLALV";"Euronext Access Paris";"EUR";"0.3851";"0.3851";"0.3851";"0.3851";"29/11/2018 16:30";"CET";"116";"44.68"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Euronext Access Paris";"EUR";"0.248";"0.248";"0.248";"0.248";"10/01/2019 11:30";"CET";"1";"0.248"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"31.26";"31.44";"30.32";"31.08";"10/01/2019 17:35";"CET";"407133";"12574201.60"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"2.35";"2.49";"2.26";"2.425";"10/01/2019 17:35";"CET";"42932";"103003.81"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"2.91";"3.04";"2.89";"3.00";"10/01/2019 17:35";"CET";"58802";"175015.13"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"18.00";"18.08";"17.80";"17.90";"10/01/2019 17:35";"CET";"9650";"173413.50"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"48.40";"49.20";"48.10";"49.08";"10/01/2019 17:35";"CET";"109688";"5369215.88"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"2.46";"2.59";"2.46";"2.59";"10/01/2019 17:35";"CET";"206";"529.47"
"ANEVIA";"FR0011910652";"ALANV";"Euronext Growth Paris";"EUR";"2.02";"2.02";"2.00";"2.01";"10/01/2019 16:52";"CET";"1431";"2872.32"
"ANTALIS";"FR0013258589";"ANTA";"Euronext Paris";"EUR";"0.91";"0.92";"0.901";"0.918";"10/01/2019 17:22";"CET";"29822";"27163.533"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"52.00";"52.00";"52.00";"52.00";"09/01/2019 11:30";"CET";"57";"2964.00"
"ANTEVENIO";"ES0109429037";"ALANT";"Euronext Growth Paris";"EUR";"7.32";"7.56";"7.32";"7.56";"10/01/2019 14:33";"CET";"417";"3124.78"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"0.13";"0.13";"0.13";"0.13";"10/01/2019 16:29";"CET";"8000";"1040.00"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"25.88";"25.88";"24.96";"25.82";"10/01/2019 17:35";"CET";"253231";"6457480.77"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"20.40";"20.50";"20.40";"20.40";"10/01/2019 17:35";"CET";"35058";"715207.20"
"AQUILA";"FR0010340711";"ALAQU";"Euronext Growth Paris";"EUR";"6.60";"6.60";"6.60";"6.60";"09/01/2019 16:30";"CET";"240";"1584.00"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"11.31";"11.61";"11.01";"11.58";"10/01/2019 17:35";"CET";"205341";"2353435.93"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"19.334";"19.436";"19.032";"19.406";"10/01/2019 17:35";"CET";"3666519";"70690629.214"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"0.3455";"0.3455";"0.334";"0.3385";"10/01/2019 17:35";"CET";"347072";"117002.218"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Euronext Access Paris";"EUR";"62.00";"62.00";"62.00";"62.00";"12/12/2018 11:30";"CET";"50";"3100.00"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Euronext Access Paris";"EUR";"80.00";"80.00";"80.00";"80.00";"07/09/2016 15:30";"CET";"4";"320.00"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"43.50";"43.90";"43.50";"43.90";"10/01/2019 17:35";"CET";"5551";"241566.50"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"97.30";"98.60";"95.20";"95.60";"10/01/2019 17:35";"CET";"74494";"7166600.80"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"82.96";"82.96";"81.48";"82.60";"10/01/2019 17:35";"CET";"243112";"20018711.76"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"14.50";"15.60";"14.50";"15.40";"10/01/2019 15:46";"CET";"46";"713.10"
"ARTEFACT";"FR0000079683";"ALATF";"Euronext Growth Paris";"EUR";"2.31";"2.37";"2.29";"2.31";"10/01/2019 17:35";"CET";"11091";"25817.36"
"ARTHUR MAURY";"FR0013268067";"MLAMY";"Euronext Access Paris";"EUR";"3.60";"3.60";"3.60";"3.60";"19/01/2018 14:38";"CET";"6600";"23760.00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"5150.00";"5150.00";"5150.00";"5150.00";"09/01/2019 16:30";"CET";"3";"15450.00"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"14.34";"14.40";"14.10";"14.38";"10/01/2019 17:35";"CET";"3845";"55035.06"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"51.20";"51.60";"50.60";"51.00";"10/01/2019 17:35";"CET";"3021";"154759.80"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Euronext Access Paris";"EUR";"1.50";"1.50";"1.50";"1.50";"09/01/2019 16:30";"CET";"90";"135.00"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"1.56";"1.67";"1.56";"1.65";"10/01/2019 17:23";"CET";"108116";"176041.87"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"36.57";"37.05";"36.21";"36.95";"10/01/2019 17:35";"CET";"110837";"4076769.03"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"140.00";"140.60";"138.74";"140.14";"10/01/2019 17:35";"CET";"917269";"128240461.94"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"35.10";"35.92";"35.08";"35.86";"10/01/2019 17:38";"CET";"304903";"10902533.30"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"14.98";"14.98";"14.98";"14.98";"09/01/2019 17:00";"CET";"2";"29.96"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Euronext Growth Paris";"EUR";"1.95";"1.95";"1.95";"1.95";"27/11/2018 14:07";"CET";"200";"390.00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"26.80";"26.80";"26.30";"26.80";"10/01/2019 17:35";"CET";"4657";"123915.55"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0.35";"0.362";"0.3415";"0.362";"10/01/2019 17:35";"CET";"1233030";"435166.3945"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"11.50";"12.46";"11.50";"12.18";"10/01/2019 17:35";"CET";"11272";"134673.36"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"53.80";"53.80";"53.00";"53.40";"10/01/2019 17:35";"CET";"1069";"57462.80"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"72.98";"75.12";"72.30";"74.58";"10/01/2019 17:35";"CET";"473569";"35076125.92"
"ATOS NV19";"FR0013384641";"ATONV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"3.35";"3.35";"3.345";"3.35";"10/01/2019 14:28";"CET";"653";"2186.67"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"29.50";"30.10";"29.40";"29.60";"10/01/2019 17:35";"CET";"12229";"362626.45"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Euronext Access Paris";"EUR";"7.70";"7.70";"7.70";"7.70";"22/05/2018 16:30";"CET";"13";"100.10"
"AUDIOVALLEY";"BE0974334667";"ALAVY";"Euronext Growth Paris";"EUR";"4.65";"4.78";"4.65";"4.78";"10/01/2019 17:02";"CET";"1594";"7508.2025"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"4.60";"4.60";"4.60";"4.60";"07/01/2019 16:38";"CET";"1010";"4646.00"
"AUPLATA";"FR0010397760";"ALAUP";"Euronext Growth Paris";"EUR";"0.0536";"0.0587";"0.053";"0.0582";"10/01/2019 17:35";"CET";"7295774";"405963.1564"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"5.80";"5.80";"5.70";"5.72";"10/01/2019 16:32";"CET";"4255";"24532.60"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"32.75";"32.95";"32.55";"32.75";"10/01/2019 17:28";"CET";"1433";"46891.75"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"2.35";"2.425";"2.29";"2.33";"10/01/2019 17:20";"CET";"27124";"63589.66"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0.147";"0.154";"0.147";"0.1475";"10/01/2019 17:35";"CET";"74073";"11065.924"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"1.10";"1.31";"1.06";"1.265";"10/01/2019 17:35";"CET";"135554";"162756.625"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"19.25";"19.56";"19.164";"19.508";"10/01/2019 17:35";"CET";"5091013";"98940711.86"
"AXA NV19";"FR0013383528";"CSNV";"Euronext Paris";"EUR";"17.96";"17.96";"17.96";"17.96";"10/01/2019 11:30";"CET";"112";"2011.52"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"12.44";"12.72";"12.30";"12.30";"10/01/2019 17:35";"CET";"3723";"46344.48"
"AZ LEASING";"IT0004812258";"MLAZL";"Euronext Access Paris";"EUR";"1.40";"1.40";"1.40";"1.40";"21/12/2018 11:30";"CET";"2";"2.80"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Euronext Access Paris";"EUR";"0.092";"0.092";"0.092";"0.092";"05/09/2018 16:30";"CET";"3";"0.28"
"B&S Group";"LU1789205884";"BSGR";"Euronext Amsterdam";"EUR";"13.95";"14.10";"13.90";"13.90";"10/01/2019 17:35";"CET";"3970";"55533.106"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0.2451";"0.2463";"0.2431";"0.2454";"10/01/2019 22:35";"BST";"36275521";"8881460.2931"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"222.70";"222.70";"222.70";"222.70";"10/01/2019 17:09";"CET";"2244";"499738.80"
"BAIKOWSKI";"FR0013384369";"ALBKK";"Euronext Growth Paris";"EUR";"14.10";"14.25";"14.00";"14.246";"10/01/2019 17:26";"CET";"1812";"25573.722"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"47.00";"47.50";"47.00";"47.40";"10/01/2019 16:23";"CET";"172";"8147.20"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"3.33";"3.38";"3.305";"3.345";"10/01/2019 17:35";"CET";"12396";"41401.97"
"BALYO";"FR0013258399";"BALYO";"Euronext Paris";"EUR";"3.98";"5.20";"3.80";"4.72";"10/01/2019 17:39";"CET";"1196369";"5360248.46"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"2.70";"2.761";"2.668";"2.76";"10/01/2019 17:35";"CET";"1474403";"4029153.408"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"4.9295";"4.9295";"4.9295";"4.9295";"09/01/2019 09:44";"CET";"217";"1069.70"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"4.257";"4.257";"4.257";"4.257";"09/01/2019 11:27";"CET";"80";"340.56"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.56";"3.56";"3.50";"3.50";"10/01/2019 17:19";"CET";"4694";"16479.00"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"7.00";"7.00";"7.00";"7.00";"02/01/2019 11:30";"CET";"1";"7.00"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"109.60";"109.60";"106.80";"106.80";"10/01/2019 17:35";"CET";"7196";"775714.20"
"BARINGS CORE SPAIN";"ES0105362000";"MLBAR";"Euronext Access Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"26.10";"26.50";"25.50";"25.70";"10/01/2019 17:35";"CET";"45324";"1170716.00"
"BASILIX CERT";"BE0003674851";"BAS";"Euronext Brussels";"EUR";"17.00";"17.00";"17.00";"17.00";"09/01/2019 11:39";"CET";"40";"680.00"
"BASTIDE LE CONFORT";"FR0000035370";"BLC";"Euronext Paris";"EUR";"30.85";"31.20";"30.00";"31.20";"10/01/2019 17:35";"CET";"14506";"447308.05"
"BATENBURG TECHNIEK";"NL0006292906";"BATEN";"Euronext Amsterdam";"EUR";"43.00";"43.80";"43.00";"43.80";"10/01/2019 09:20";"CET";"128";"5591.80"
"BATLA MINERALS";"FR0010436170";"MLBAT";"Euronext Access Paris";"EUR";"0.825";"0.825";"0.825";"0.825";"10/01/2019 16:30";"CET";"1";"0.825"
"BD MULTI MEDIA";"FR0000035305";"ALBDM";"Euronext Growth Paris";"EUR";"1.27";"1.27";"1.27";"1.27";"08/01/2019 11:30";"CET";"171";"217.17"
"BE Semiconductor";"NL0012866412";"BESI";"Euronext Amsterdam";"EUR";"18.498";"18.93";"18.15";"18.85";"10/01/2019 17:35";"CET";"514449";"9608230.938"
"BEAULIEU-AV. CERT";"BE0003661726";"BEAB";"Euronext Brussels";"EUR";"67.30";"67.30";"67.30";"67.30";"10/01/2019 16:30";"CET";"60";"4038.00"
"BEFIMMO";"BE0003678894";"BEFB";"Euronext Brussels";"EUR";"48.70";"49.45";"48.70";"49.20";"10/01/2019 17:35";"CET";"23997";"1179856.30"
"BEKAERT";"BE0974258874";"BEKB";"Euronext Brussels";"EUR";"23.48";"23.58";"22.94";"23.38";"10/01/2019 17:35";"CET";"137377";"3207735.46"
"BELIER";"FR0000072399";"BELI";"Euronext Paris";"EUR";"33.10";"33.25";"32.55";"32.95";"10/01/2019 17:35";"CET";"1461";"48227.90"
"BELRECA";"BE0020575115";"BELR";"Euronext Brussels";"EUR";"105.00";"105.00";"105.00";"105.00";"21/12/2018 11:30";"CET";"13";"1365.00"
"BELUGA";"BE0003723377";"BELU";"Euronext Brussels";"EUR";"1.31";"1.31";"1.31";"1.31";"07/01/2019 16:30";"CET";"915";"1198.65"
"BENETEAU";"FR0000035164";"BEN";"Euronext Paris";"EUR";"12.40";"12.70";"12.34";"12.70";"10/01/2019 17:35";"CET";"93234";"1171611.50"
"BENFICA";"PTSLB0AM0010";"SLBEN";"Euronext Lisbon";"EUR";"1.95";"2.08";"1.92";"2.08";"10/01/2019 21:52";"BST";"3822";"7642.095"
"BERNARD LOISEAU";"FR0000066961";"ALDBL";"Euronext Growth Paris";"EUR";"2.84";"2.84";"2.84";"2.84";"10/01/2019 11:30";"CET";"200";"568.00"
"BETER BED";"NL0000339703";"BBED";"Euronext Amsterdam";"EUR";"3.92";"3.95";"3.915";"3.945";"10/01/2019 17:35";"CET";"27058";"106530.33"
"BEVER HOLDING";"NL0000285278";"BEVER";"Euronext Amsterdam";"EUR";"3.30";"3.30";"3.30";"3.30";"07/01/2019 11:30";"CET";"10";"33.00"
"BIC";"FR0000120966";"BB";"Euronext Paris";"EUR";"89.20";"89.20";"85.35";"86.70";"10/01/2019 17:35";"CET";"154783";"13411383.30"
"BIGBEN INTERACTIVE";"FR0000074072";"BIG";"Euronext Paris";"EUR";"9.46";"9.60";"9.13";"9.54";"10/01/2019 17:35";"CET";"65527";"619712.78"
"BILENDI";"FR0004174233";"ALBLD";"Euronext Growth Paris";"EUR";"9.72";"10.00";"9.72";"9.98";"10/01/2019 17:36";"CET";"6748";"66620.14"
"BINCKBANK";"NL0000335578";"BINCK";"Euronext Amsterdam";"EUR";"6.16";"6.21";"6.16";"6.21";"10/01/2019 17:35";"CET";"810985";"5024864.30"
"BIO-UV GROUP";"FR0013345493";"ALTUV";"Euronext Growth Paris";"EUR";"3.15";"3.15";"3.12";"3.12";"10/01/2019 17:25";"CET";"668";"2098.92"
"BIOCARTIS";"BE0974281132";"BCART";"Euronext Brussels";"EUR";"11.82";"11.84";"11.64";"11.82";"10/01/2019 17:35";"CET";"61916";"727323.12"
"BIOCORP";"FR0012788065";"ALCOR";"Euronext Growth Paris";"EUR";"7.24";"7.24";"7.24";"7.24";"10/01/2019 09:00";"CET";"1";"7.24"
"BIOM UP SA";"FR0013284080";"BUP";"Euronext Paris";"EUR";"4.72";"4.8095";"4.63";"4.70";"10/01/2019 17:26";"CET";"10499";"49373.222"
"BIOMERIEUX";"FR0013280286";"BIM";"Euronext Paris";"EUR";"58.40";"59.10";"58.00";"59.00";"10/01/2019 17:35";"CET";"78872";"4632857.90"
"BIOPHYTIS";"FR0012816825";"ALBPS";"Euronext Growth Paris";"EUR";"1.83";"1.83";"1.78";"1.83";"10/01/2019 17:35";"CET";"16438";"29644.958"
"BIOSYNEX";"FR0011005933";"ALBIO";"Euronext Growth Paris";"EUR";"2.70";"2.71";"2.70";"2.71";"10/01/2019 15:13";"CET";"1551";"4193.26"
"BLEECKER";"FR0000062150";"BLEE";"Euronext Paris";"EUR";"105.00";"105.00";"105.00";"105.00";"27/11/2018 16:30";"CET";"31";"3255.00"
"BLUE";"FR0011592104";"BLUE";"Euronext Paris";"EUR";"16.45";"16.65";"16.35";"16.40";"10/01/2019 17:29";"CET";"1598";"26330.00"
"BLUE SHARK POWER";"FR0013340973";"MLBSP";"Euronext Access Paris";"EUR";"3.50";"3.50";"3.50";"3.50";"09/01/2019 16:30";"CET";"15";"52.50"
"BLUELINEA";"FR0011041011";"ALBLU";"Euronext Growth Paris";"EUR";"4.68";"4.68";"4.30";"4.60";"10/01/2019 16:44";"CET";"151";"673.18"
"BNP PARIBAS ACT.A";"FR0000131104";"BNP";"Euronext Paris";"EUR";"40.40";"41.35";"40.355";"41.215";"10/01/2019 17:35";"CET";"3393318";"139188887.555"
"BODY ONE";"FR0010106039";"MLONE";"Euronext Access Paris";"EUR";"0.22";"0.22";"0.22";"0.22";"08/01/2019 11:30";"CET";"5";"1.10"
"BOEING COMPANY";"US0970231058";"BOEI";"Traded not listed Brussels";"USD";"315.00";"315.00";"315.00";"315.00";"09/08/2018 15:31";"CET";"150";"40757.33"
"BOIRON";"FR0000061129";"BOI";"Euronext Paris";"EUR";"53.40";"54.10";"53.00";"54.10";"10/01/2019 17:35";"CET";"7635";"409806.40"
"BOLLORE";"FR0000039299";"BOL";"Euronext Paris";"EUR";"3.612";"3.65";"3.608";"3.65";"10/01/2019 17:35";"CET";"1176512";"4275824.862"
